,UNK,1
3427,insomnias,3
3428,fricken,0
3429,spice,3
3430,dollar,5
3431,mornin,6
3432,bestie,6
3433,strung,5
3434,zonked,4
3435,recall,6
3436,den,1
3437,blacked,3
3438,kod,6
3439,park,0
3440,woops,6
3441,lion,4
3442,tgif,5
3443,bill,0
3444,fuk,3
3445,purpose,2
3446,adjusting,1
3447,planes,3
3448,curl,3
3449,strep,6
3450,access,6
3451,nonexistent,5
3452,packing,1
3453,healing,5
3454,resets,4
3455,showering,5
3456,lamp,1
3457,bueno,6
3458,lecture,3
3459,heh,4
3460,satan,3
3461,exists,5
3462,deliver,2
3463,swim,4
3464,comment,5
3465,pouring,4
3466,nosleepforme,4
3467,barking,3
3468,field,0
3469,gma,5
3470,fyi,1
3471,coulda,6
3472,pepper,3
3473,chatting,5
3474,editing,6
3475,shooting,2
3476,dressed,6
3477,nail,5
3478,christ,0
3479,poison,4
3480,shook,6
3481,enter,3
3482,hopeless,0
3483,earth,1
3484,chewed,5
3485,mixture,4
3486,binge,4
3487,bible,1
3488,brutal,5
3489,wound,3
3490,ocean,1
3491,incapable,6
3492,dopamine,6
3493,breaks,6
3494,specific,4
3495,successfully,4
3496,corn,6
3497,twitch,6
3498,motion,1
3499,picture,2
3500,turnup,0
3501,younger,5
3502,substitute,5
3503,prescriptions,3
3504,sleepwalk,5
3505,dropper,1
3506,overall,0
3507,drained,6
3508,lonely,3
3509,antihistamines,6
3510,george,6
3511,sleepingprobs,0
3512,tingling,6
3513,cuddles,2
3514,cope,2
3515,cards,0
3516,pro,0
3517,mates,0
3518,readjust,6
3519,sleeplessnights,5
3520,itt,0
3521,berocca,2
3522,blessing,0
3523,punched,1
3524,ironic,1
3525,uhm,1
3526,sandman,2
3527,sanity,3
3528,doze,6
3529,ladies,4
3530,ehh,2
3531,creeping,1
3532,synthetic,5
3533,conflicted,6
3534,supposedly,4
3535,sticking,2
3536,grabbing,0
3537,woulda,4
3538,bigger,4
3539,thrown,5
3540,cigarette,6
3541,windows,3
3542,traditional,3
3543,dump,1
3544,cheer,3
3545,moods,6
3546,johns,1
3547,zzzz,5
3548,notes,4
3549,apt,0
3550,taco,3
3551,holiday,2
3552,oranges,2
3553,worlds,4
3554,ktfo,4
3555,drool,5
3556,backfire,5
3557,diazepam,4
3558,sleeptime,3
3559,mistook,5
3560,closet,0
3561,shoving,4
3562,respect,5
3563,x_x,4
3564,lightweight,3
3565,fkn,1
3566,guts,0
3567,googling,2
3568,press,1
3569,lean,2
3570,murdered,0
3571,boom,4
3572,quadruple,4
3573,cooking,1
3574,china,0
3575,magically,1
3576,preparation,2
3577,brings,5
3578,dragons,0
3579,damage,6
3580,feedback,1
3581,hidden,5
3582,elavil,3
3583,potions,0
3584,ugghh,4
3585,letter,3
3586,professor,0
3587,camp,1
3588,bliss,0
3589,screams,3
3590,rolled,6
3591,zzquill,2
3592,pregnancy,6
3593,dave,4
3594,spin,6
3595,player,4
3596,thingy,3
3597,clonidine,4
3598,desire,0
3599,dollars,2
3600,benadryls,4
3601,benadryll,6
3602,proven,6
3603,exist,6
3604,cuddled,5
3605,chain,1
3606,hangovers,5
3607,solves,3
3608,hittin,5
3609,buut,0
3610,fake,1
3611,believed,5
3612,caution,3
3613,blasting,0
3614,aliens,1
3615,formula,4
3616,crazier,6
3617,potter,5
3618,spanish,5
3619,ironically,3
3620,blinds,0
3621,homeopathy,5
3622,vision,2
3623,shoutout,0
3624,hashtag,1
3625,runnin,4
3626,ambient,4
3627,shuts,0
3628,preventing,6
3629,scientific,5
3630,stone,4
3631,survived,6
3632,dawg,0
3633,tricks,0
3634,returned,6
3635,stepdad,0
3636,handy,5
3637,healthier,3
3638,ambian,1
3639,regiment,2
3640,teen,0
3641,deuces,6
3642,trade,1
3643,pronto,3
3644,manflu,1
3645,gfs,0
3646,drives,1
3647,amped,0
3648,guest,6
3649,threatening,6
3650,heaps,4
3651,despise,4
3652,potent,3
3653,improved,0
3654,connection,4
3655,picks,0
3656,knw,3
3657,santa,5
3658,span,2
3659,addicting,4
3660,poster,1
3661,yelled,0
3662,stocked,5
3663,animals,5
3664,indian,5
3665,fifteen,0
3666,resulting,6
3667,pencil,5
3668,rubbish,1
3669,clients,2
3670,pour,4
3671,locs,3
3672,trippiest,0
3673,benzos,2
3674,tied,3
3675,borderline,0
3676,scent,5
3677,alopecia,0
3678,brew,4
3679,dependant,6
3680,decade,1
3681,podcast,4
3682,ohio,4
3683,invited,5
3684,figures,0
3685,labor,4
3686,rips,4
3687,ruins,3
3688,digging,3
3689,dam,0
3690,dust,5
3691,lest,1
3692,moments,3
3693,rooms,4
3694,tmw,4
3695,sneezed,0
3696,biology,0
3697,stage,5
3698,gossip,2
3699,daze,1
3700,restock,2
3701,rec,4
3702,yard,1
3703,coursing,5
3704,burped,2
3705,forth,3
3706,comin,1
3707,john,1
3708,nahh,5
3709,womp,2
3710,cop,6
3711,fck,1
3712,sleepover,0
3713,vogel,2
3714,dumped,5
3715,contact,5
3716,josh,3
3717,mayb,5
3718,idgaf,5
3719,prednisone,1
3720,confusion,5
3721,anime,6
3722,whyd,2
3723,evidence,3
3724,detox,3
3725,kitten,1
3726,shared,0
3727,primrose,1
3728,tape,3
3729,ribs,6
3730,sweetie,5
3731,discussion,1
3732,cola,2
3733,halp,4
3734,james,0
3735,medications,4
3736,tingly,0
3737,rebel,1
3738,textbook,3
3739,drove,0
3740,fruity,2
3741,offering,2
3742,america,3
3743,eludes,6
3744,layin,1
3745,horrifying,4
3746,overrated,6
3747,cares,4
3748,oded,6
3749,developing,4
3750,cupcake,5
3751,legitimately,0
3752,pounds,0
3753,hectic,1
3754,wolf,2
3755,assumed,3
3756,uhoh,3
3757,comics,6
3758,tellin,4
3759,referring,3
3760,deficient,6
3761,startin,0
3762,fatigued,1
3763,wacky,4
3764,goodnite,1
3765,event,0
3766,dirt,1
3767,heartbeat,1
3768,drooling,0
3769,mist,5
3770,overdrive,6
3771,quote,6
3772,circle,4
3773,recommendations,4
3774,woe,4
3775,motivation,3
3776,skype,1
3777,lacking,2
3778,aye,6
3779,adults,3
3780,katy,4
3781,michael,0
3782,verdict,1
3783,plays,1
3784,wallet,6
3785,eminem,3
3786,focused,0
3787,zopiclone,6
3788,kidnapped,6
3789,salad,5
3790,halloween,0
3791,located,5
3792,thunderstorm,0
3793,slide,0
3794,oughta,2
3795,princess,0
3796,austin,1
3797,defense,2
3798,probiotics,3
3799,kitties,3
3800,roofies,1
3801,tire,2
3802,scrolling,0
3803,sht,2
3804,fridge,2
3805,shh,2
3806,humans,6
3807,written,3
3808,interfere,4
3809,notcool,0
3810,sendhelp,4
3811,fate,3
3812,prozac,1
3813,lagged,0
3814,gain,3
3815,twist,3
3816,whose,5
3817,swag,4
3818,frozen,4
3819,suit,4
3820,warn,1
3821,ward,1
3822,hatch,1
3823,typing,0
3824,mini,5
3825,delusional,1
3826,bat,6
3827,bay,0
3828,subject,5
3829,yaay,4
3830,allnatural,3
3831,sushi,2
3832,juss,0
3833,theanine,4
3834,fort,6
3835,holla,2
3836,stillawake,0
3837,hurtin,5
3838,travels,5
3839,shave,1
3840,fibro,5
3841,sour,2
3842,bites,4
3843,nyc,1
3844,sworn,2
3845,mag,1
3846,silence,0
3847,miles,0
3848,rachel,4
3849,chem,6
3850,continuous,5
3851,mylife,3
3852,cheesecake,1
3853,spraying,5
3854,gaga,4
3855,tub,4
3856,tuck,5
3857,among,5
3858,cancelled,3
3859,flavor,5
3860,asthma,1
3861,nick,0
3862,jake,5
3863,mos,4
3864,mon,6
3865,hallelujah,2
3866,fluids,2
3867,knife,1
3868,lasting,0
3869,fantasy,5
3870,spicy,5
3871,narcotics,5
3872,keepin,1
3873,former,5
3874,understanding,3
3875,public,5
3876,formation,2
3877,dem,2
3878,commercial,3
3879,harsh,5
3880,existence,1
3881,harm,0
3882,idek,6
3883,extended,0
3884,assist,2
3885,pathetic,5
3886,difficulty,6
3887,regulation,5
3888,toe,2
3889,majority,5
3890,toronto,6
3891,jane,6
3892,shades,1
3893,chugged,2
3894,semi,3
3895,continuing,2
3896,percocet,4
3897,planet,1
3898,brushing,0
3899,groceries,0
3900,documentary,4
3901,korea,4
3902,chicago,4
3903,safer,0
3904,lime,1
3905,ashamed,5
3906,account,5
3907,stock,3
3908,zenbev,1
3909,junkie,2
3910,mate,4
3911,barley,0
3912,pots,0
3913,gear,3
3914,ipad,0
3915,enhanced,6
3916,equal,1
3917,hubs,2
3918,helper,1
3919,fucker,1
3920,twitterverse,4
3921,articles,3
3922,dryer,3
3923,classical,0
3924,pukey,4
3925,tomm,5
3926,childrens,5
3927,bum,5
3928,partially,0
3929,wise,1
3930,pie,2
3931,limited,6
3932,hating,4
3933,appetite,1
3934,paris,5
3935,pride,0
3936,upallnight,0
3937,glued,5
3938,nightynight,4
3939,swings,6
3940,grief,1
3941,aching,5
3942,ultimate,5
3943,sickle,5
3944,nightcap,5
3945,rant,3
3946,fcking,5
3947,screws,0
3948,treats,2
3949,flow,1
3950,situations,1
3951,geez,4
3952,aand,0
3953,jelly,6
3954,stopping,4
3955,seasonal,5
3956,xbox,6
3957,attempted,2
3958,whee,4
3959,tim,1
3960,roofied,3
3961,promoting,4
3962,cook,3
3963,rings,4
3964,shrink,3
3965,autumn,5
3966,salts,0
3967,acts,6
3968,paracetamol,2
3969,clutch,6
3970,sprinkle,3
3971,begun,6
3972,amma,6
3973,europe,5
3974,cops,0
3975,antianxiety,2
3976,ideal,4
3977,woot,0
3978,wood,4
3979,begging,3
3980,regarding,0
3981,guitar,5
3982,poo,4
3983,cast,3
3984,tipsy,1
3985,eucalyptus,2
3986,shelf,0
3987,slice,2
3988,strongly,5
3989,nucleus,6
3990,exhausting,1
3991,nightowl,6
3992,siblings,1
3993,toes,0
3994,hannah,1
3995,brands,3
3996,gummys,3
3997,justwannasleep,3
3998,melatonind,0
